set	Biological set	sample_temp	subtype	sample_name_machine	channel	Treatment	temperature_plus3	set_sample_id	cell_line	sample_id		temperature
Set1	IBRUTINIB1	IBRUTINIB1_40	BCP-ALL	RCH_ACV	126	IBRUTINIB	40	Set1_tmt10plex_126	RCH-ACV	IBRUTINIB1_tmt10plex_126		37
Set1	IBRUTINIB1	IBRUTINIB1_43	BCP-ALL	RCH_ACV	127N	IBRUTINIB	43	Set1_tmt10plex_127N	RCH-ACV	IBRUTINIB1_tmt10plex_127N		40
Set1	IBRUTINIB1	IBRUTINIB1_46	BCP-ALL	RCH_ACV	127C	IBRUTINIB	46	Set1_tmt10plex_127C	RCH-ACV	IBRUTINIB1_tmt10plex_127C		43
Set1	IBRUTINIB1	IBRUTINIB1_49	BCP-ALL	RCH_ACV	128N	IBRUTINIB	49	Set1_tmt10plex_128N	RCH-ACV	IBRUTINIB1_tmt10plex_128N		46
Set1	IBRUTINIB1	IBRUTINIB1_52	BCP-ALL	RCH_ACV	128C	IBRUTINIB	52	Set1_tmt10plex_128C	RCH-ACV	IBRUTINIB1_tmt10plex_128C		49
Set1	IBRUTINIB1	IBRUTINIB1_55	BCP-ALL	RCH_ACV	129N	IBRUTINIB	55	Set1_tmt10plex_129N	RCH-ACV	IBRUTINIB1_tmt10plex_129N		52
Set1	IBRUTINIB1	IBRUTINIB1_58	BCP-ALL	RCH_ACV	129C	IBRUTINIB	58	Set1_tmt10plex_129C	RCH-ACV	IBRUTINIB1_tmt10plex_129C		55
Set1	IBRUTINIB1	IBRUTINIB1_61	BCP-ALL	RCH_ACV	130N	IBRUTINIB	61	Set1_tmt10plex_130N	RCH-ACV	IBRUTINIB1_tmt10plex_130N		58
Set1	IBRUTINIB1	IBRUTINIB1_64	BCP-ALL	RCH_ACV	130C	IBRUTINIB	64	Set1_tmt10plex_130C	RCH-ACV	IBRUTINIB1_tmt10plex_130C		61
Set1	IBRUTINIB1	IBRUTINIB1_67	BCP-ALL	RCH_ACV	131	IBRUTINIB	67	Set1_tmt10plex_131	RCH-ACV	IBRUTINIB1_tmt10plex_131		64
Set2	IBRUTINIB2	IBRUTINIB2_40	BCP-ALL	RCH_ACV	126	IBRUTINIB	40	Set2_tmt10plex_126	RCH-ACV	IBRUTINIB2_tmt10plex_126		37
Set2	IBRUTINIB2	IBRUTINIB2_43	BCP-ALL	RCH_ACV	127N	IBRUTINIB	43	Set2_tmt10plex_127N	RCH-ACV	IBRUTINIB2_tmt10plex_127N		40
Set2	IBRUTINIB2	IBRUTINIB2_46	BCP-ALL	RCH_ACV	127C	IBRUTINIB	46	Set2_tmt10plex_127C	RCH-ACV	IBRUTINIB2_tmt10plex_127C		43
Set2	IBRUTINIB2	IBRUTINIB2_49	BCP-ALL	RCH_ACV	128N	IBRUTINIB	49	Set2_tmt10plex_128N	RCH-ACV	IBRUTINIB2_tmt10plex_128N		46
Set2	IBRUTINIB2	IBRUTINIB2_52	BCP-ALL	RCH_ACV	128C	IBRUTINIB	52	Set2_tmt10plex_128C	RCH-ACV	IBRUTINIB2_tmt10plex_128C		49
Set2	IBRUTINIB2	IBRUTINIB2_55	BCP-ALL	RCH_ACV	129N	IBRUTINIB	55	Set2_tmt10plex_129N	RCH-ACV	IBRUTINIB2_tmt10plex_129N		52
Set2	IBRUTINIB2	IBRUTINIB2_58	BCP-ALL	RCH_ACV	129C	IBRUTINIB	58	Set2_tmt10plex_129C	RCH-ACV	IBRUTINIB2_tmt10plex_129C		55
Set2	IBRUTINIB2	IBRUTINIB2_61	BCP-ALL	RCH_ACV	130N	IBRUTINIB	61	Set2_tmt10plex_130N	RCH-ACV	IBRUTINIB2_tmt10plex_130N		58
Set2	IBRUTINIB2	IBRUTINIB2_64	BCP-ALL	RCH_ACV	130C	IBRUTINIB	64	Set2_tmt10plex_130C	RCH-ACV	IBRUTINIB2_tmt10plex_130C		61
Set2	IBRUTINIB2	IBRUTINIB2_67	BCP-ALL	RCH_ACV	131	IBRUTINIB	67	Set2_tmt10plex_131	RCH-ACV	IBRUTINIB2_tmt10plex_131		64
Set3	DMSO1	DMSO1_40	BCP-ALL	RCH_ACV	126	DMSO	40	Set3_tmt10plex_126	RCH-ACV	DMSO1_tmt10plex_126		37
Set3	DMSO1	DMSO1_43	BCP-ALL	RCH_ACV	127N	DMSO	43	Set3_tmt10plex_127N	RCH-ACV	DMSO1_tmt10plex_127N		40
Set3	DMSO1	DMSO1_46	BCP-ALL	RCH_ACV	127C	DMSO	46	Set3_tmt10plex_127C	RCH-ACV	DMSO1_tmt10plex_127C		43
Set3	DMSO1	DMSO1_49	BCP-ALL	RCH_ACV	128N	DMSO	49	Set3_tmt10plex_128N	RCH-ACV	DMSO1_tmt10plex_128N		46
Set3	DMSO1	DMSO1_52	BCP-ALL	RCH_ACV	128C	DMSO	52	Set3_tmt10plex_128C	RCH-ACV	DMSO1_tmt10plex_128C		49
Set3	DMSO1	DMSO1_55	BCP-ALL	RCH_ACV	129N	DMSO	55	Set3_tmt10plex_129N	RCH-ACV	DMSO1_tmt10plex_129N		52
Set3	DMSO1	DMSO1_58	BCP-ALL	RCH_ACV	129C	DMSO	58	Set3_tmt10plex_129C	RCH-ACV	DMSO1_tmt10plex_129C		55
Set3	DMSO1	DMSO1_61	BCP-ALL	RCH_ACV	130N	DMSO	61	Set3_tmt10plex_130N	RCH-ACV	DMSO1_tmt10plex_130N		58
Set3	DMSO1	DMSO1_64	BCP-ALL	RCH_ACV	130C	DMSO	64	Set3_tmt10plex_130C	RCH-ACV	DMSO1_tmt10plex_130C		61
Set3	DMSO1	DMSO1_67	BCP-ALL	RCH_ACV	131	DMSO	67	Set3_tmt10plex_131	RCH-ACV	DMSO1_tmt10plex_131		64
Set4	DMSO2	DMSO2_40	BCP-ALL	RCH_ACV	126	DMSO	40	Set4_tmt10plex_126	RCH-ACV	DMSO2_tmt10plex_126		37
Set4	DMSO2	DMSO2_43	BCP-ALL	RCH_ACV	127N	DMSO	43	Set4_tmt10plex_127N	RCH-ACV	DMSO2_tmt10plex_127N		40
Set4	DMSO2	DMSO2_46	BCP-ALL	RCH_ACV	127C	DMSO	46	Set4_tmt10plex_127C	RCH-ACV	DMSO2_tmt10plex_127C		43
Set4	DMSO2	DMSO2_49	BCP-ALL	RCH_ACV	128N	DMSO	49	Set4_tmt10plex_128N	RCH-ACV	DMSO2_tmt10plex_128N		46
Set4	DMSO2	DMSO2_52	BCP-ALL	RCH_ACV	128C	DMSO	52	Set4_tmt10plex_128C	RCH-ACV	DMSO2_tmt10plex_128C		49
Set4	DMSO2	DMSO2_55	BCP-ALL	RCH_ACV	129N	DMSO	55	Set4_tmt10plex_129N	RCH-ACV	DMSO2_tmt10plex_129N		52
Set4	DMSO2	DMSO2_58	BCP-ALL	RCH_ACV	129C	DMSO	58	Set4_tmt10plex_129C	RCH-ACV	DMSO2_tmt10plex_129C		55
Set4	DMSO2	DMSO2_61	BCP-ALL	RCH_ACV	130N	DMSO	61	Set4_tmt10plex_130N	RCH-ACV	DMSO2_tmt10plex_130N		58
Set4	DMSO2	DMSO2_64	BCP-ALL	RCH_ACV	130C	DMSO	64	Set4_tmt10plex_130C	RCH-ACV	DMSO2_tmt10plex_130C		61
Set4	DMSO2	DMSO2_67	BCP-ALL	RCH_ACV	131	DMSO	67	Set4_tmt10plex_131	RCH-ACV	DMSO2_tmt10plex_131		64
Set5	IBRUTINIB1_SW13	IBRUTINIB1_40	Small-cell.carcinoma	SW13	126	IBRUTINIB	40	Set5_tmt10plex_126	SW13	IBRUTINIB1_SW13_tmt10plex_126		37
Set5	IBRUTINIB1_SW13	IBRUTINIB1_43	Small-cell.carcinoma	SW13	127N	IBRUTINIB	43	Set5_tmt10plex_127N	SW13	IBRUTINIB1_SW13_tmt10plex_127N		40
Set5	IBRUTINIB1_SW13	IBRUTINIB1_46	Small-cell.carcinoma	SW13	127C	IBRUTINIB	46	Set5_tmt10plex_127C	SW13	IBRUTINIB1_SW13_tmt10plex_127C		43
Set5	IBRUTINIB1_SW13	IBRUTINIB1_49	Small-cell.carcinoma	SW13	128N	IBRUTINIB	49	Set5_tmt10plex_128N	SW13	IBRUTINIB1_SW13_tmt10plex_128N		46
Set5	IBRUTINIB1_SW13	IBRUTINIB1_52	Small-cell.carcinoma	SW13	128C	IBRUTINIB	52	Set5_tmt10plex_128C	SW13	IBRUTINIB1_SW13_tmt10plex_128C		49
Set5	IBRUTINIB1_SW13	IBRUTINIB1_55	Small-cell.carcinoma	SW13	129N	IBRUTINIB	55	Set5_tmt10plex_129N	SW13	IBRUTINIB1_SW13_tmt10plex_129N		52
Set5	IBRUTINIB1_SW13	IBRUTINIB1_58	Small-cell.carcinoma	SW13	129C	IBRUTINIB	58	Set5_tmt10plex_129C	SW13	IBRUTINIB1_SW13_tmt10plex_129C		55
Set5	IBRUTINIB1_SW13	IBRUTINIB1_61	Small-cell.carcinoma	SW13	130N	IBRUTINIB	61	Set5_tmt10plex_130N	SW13	IBRUTINIB1_SW13_tmt10plex_130N		58
Set5	IBRUTINIB1_SW13	IBRUTINIB1_64	Small-cell.carcinoma	SW13	130C	IBRUTINIB	64	Set5_tmt10plex_130C	SW13	IBRUTINIB1_SW13_tmt10plex_130C		61
Set5	IBRUTINIB1_SW13	IBRUTINIB1_67	Small-cell.carcinoma	SW13	131	IBRUTINIB	67	Set5_tmt10plex_131	SW13	IBRUTINIB1_SW13_tmt10plex_131		64
Set6	IBRUTINIB2_SW13	IBRUTINIB2_40	Small-cell.carcinoma	SW13	126	IBRUTINIB	40	Set6_tmt10plex_126	SW13	IBRUTINIB2_SW13_tmt10plex_126		37
Set6	IBRUTINIB2_SW13	IBRUTINIB2_43	Small-cell.carcinoma	SW13	127N	IBRUTINIB	43	Set6_tmt10plex_127N	SW13	IBRUTINIB2_SW13_tmt10plex_127N		40
Set6	IBRUTINIB2_SW13	IBRUTINIB2_46	Small-cell.carcinoma	SW13	127C	IBRUTINIB	46	Set6_tmt10plex_127C	SW13	IBRUTINIB2_SW13_tmt10plex_127C		43
Set6	IBRUTINIB2_SW13	IBRUTINIB2_49	Small-cell.carcinoma	SW13	128N	IBRUTINIB	49	Set6_tmt10plex_128N	SW13	IBRUTINIB2_SW13_tmt10plex_128N		46
Set6	IBRUTINIB2_SW13	IBRUTINIB2_52	Small-cell.carcinoma	SW13	128C	IBRUTINIB	52	Set6_tmt10plex_128C	SW13	IBRUTINIB2_SW13_tmt10plex_128C		49
Set6	IBRUTINIB2_SW13	IBRUTINIB2_55	Small-cell.carcinoma	SW13	129N	IBRUTINIB	55	Set6_tmt10plex_129N	SW13	IBRUTINIB2_SW13_tmt10plex_129N		52
Set6	IBRUTINIB2_SW13	IBRUTINIB2_58	Small-cell.carcinoma	SW13	129C	IBRUTINIB	58	Set6_tmt10plex_129C	SW13	IBRUTINIB2_SW13_tmt10plex_129C		55
Set6	IBRUTINIB2_SW13	IBRUTINIB2_61	Small-cell.carcinoma	SW13	130N	IBRUTINIB	61	Set6_tmt10plex_130N	SW13	IBRUTINIB2_SW13_tmt10plex_130N		58
Set6	IBRUTINIB2_SW13	IBRUTINIB2_64	Small-cell.carcinoma	SW13	130C	IBRUTINIB	64	Set6_tmt10plex_130C	SW13	IBRUTINIB2_SW13_tmt10plex_130C		61
Set6	IBRUTINIB2_SW13	IBRUTINIB2_67	Small-cell.carcinoma	SW13	131	IBRUTINIB	67	Set6_tmt10plex_131	SW13	IBRUTINIB2_SW13_tmt10plex_131		64
Set7	DMSO1_SW13	DMSO1_40	Small-cell.carcinoma	SW13	126	DMSO	40	Set7_tmt10plex_126	SW13	DMSO1_SW13_tmt10plex_126		37
Set7	DMSO1_SW13	DMSO1_43	Small-cell.carcinoma	SW13	127N	DMSO	43	Set7_tmt10plex_127N	SW13	DMSO1_SW13_tmt10plex_127N		40
Set7	DMSO1_SW13	DMSO1_46	Small-cell.carcinoma	SW13	127C	DMSO	46	Set7_tmt10plex_127C	SW13	DMSO1_SW13_tmt10plex_127C		43
Set7	DMSO1_SW13	DMSO1_49	Small-cell.carcinoma	SW13	128N	DMSO	49	Set7_tmt10plex_128N	SW13	DMSO1_SW13_tmt10plex_128N		46
Set7	DMSO1_SW13	DMSO1_52	Small-cell.carcinoma	SW13	128C	DMSO	52	Set7_tmt10plex_128C	SW13	DMSO1_SW13_tmt10plex_128C		49
Set7	DMSO1_SW13	DMSO1_55	Small-cell.carcinoma	SW13	129N	DMSO	55	Set7_tmt10plex_129N	SW13	DMSO1_SW13_tmt10plex_129N		52
Set7	DMSO1_SW13	DMSO1_58	Small-cell.carcinoma	SW13	129C	DMSO	58	Set7_tmt10plex_129C	SW13	DMSO1_SW13_tmt10plex_129C		55
Set7	DMSO1_SW13	DMSO1_61	Small-cell.carcinoma	SW13	130N	DMSO	61	Set7_tmt10plex_130N	SW13	DMSO1_SW13_tmt10plex_130N		58
Set7	DMSO1_SW13	DMSO1_64	Small-cell.carcinoma	SW13	130C	DMSO	64	Set7_tmt10plex_130C	SW13	DMSO1_SW13_tmt10plex_130C		61
Set7	DMSO1_SW13	DMSO1_67	Small-cell.carcinoma	SW13	131	DMSO	67	Set7_tmt10plex_131	SW13	DMSO1_SW13_tmt10plex_131		64
Set8	DMSO2_SW13	DMSO2_40	Small-cell.carcinoma	SW13	126	DMSO	40	Set8_tmt10plex_126	SW13	DMSO2_SW13_tmt10plex_126		37
Set8	DMSO2_SW13	DMSO2_43	Small-cell.carcinoma	SW13	127N	DMSO	43	Set8_tmt10plex_127N	SW13	DMSO2_SW13_tmt10plex_127N		40
Set8	DMSO2_SW13	DMSO2_46	Small-cell.carcinoma	SW13	127C	DMSO	46	Set8_tmt10plex_127C	SW13	DMSO2_SW13_tmt10plex_127C		43
Set8	DMSO2_SW13	DMSO2_49	Small-cell.carcinoma	SW13	128N	DMSO	49	Set8_tmt10plex_128N	SW13	DMSO2_SW13_tmt10plex_128N		46
Set8	DMSO2_SW13	DMSO2_52	Small-cell.carcinoma	SW13	128C	DMSO	52	Set8_tmt10plex_128C	SW13	DMSO2_SW13_tmt10plex_128C		49
Set8	DMSO2_SW13	DMSO2_55	Small-cell.carcinoma	SW13	129N	DMSO	55	Set8_tmt10plex_129N	SW13	DMSO2_SW13_tmt10plex_129N		52
Set8	DMSO2_SW13	DMSO2_58	Small-cell.carcinoma	SW13	129C	DMSO	58	Set8_tmt10plex_129C	SW13	DMSO2_SW13_tmt10plex_129C		55
Set8	DMSO2_SW13	DMSO2_61	Small-cell.carcinoma	SW13	130N	DMSO	61	Set8_tmt10plex_130N	SW13	DMSO2_SW13_tmt10plex_130N		58
Set8	DMSO2_SW13	DMSO2_64	Small-cell.carcinoma	SW13	130C	DMSO	64	Set8_tmt10plex_130C	SW13	DMSO2_SW13_tmt10plex_130C		61
Set8	DMSO2_SW13	DMSO2_67	Small-cell.carcinoma	SW13	131	DMSO	67	Set8_tmt10plex_131	SW13	DMSO2_SW13_tmt10plex_131		64